Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
1254,B002CTJG02,AC3ZR64550O35,Molly Barth,1,1,5,1173312000,VERY HEALTHFUL TREAT FOR DOGS,THESE TREATS ARE THE ONLY ONES MY 14 YEAR OLD DOG WILL EAT. SHE LOVES THEM.
1329,B000VX9XFE,A3R7A2954ZKBZK,S. Roberts,1,1,5,1227398400,bread mixes,bought as gift for hard to buy for father...he LOVED  bread said it was delicious !!
1345,B000ODRY9I,A3F9CMU8KNAY1M,"Susan ""minniesm""",1,1,5,1214611200,Good dressing,"Like the flavor and it's thick, unlike some fat free dressings that are really runny."
1363,B005151BV6,A2CFWPZX3VUF64,"Benjamin R. Tyler ""Ben Jamin""",0,0,5,1327104000,tic tac,great thanks for the great service i don't know what else to say i have said all i have tu say.
1365,B0006GWXYY,A1BMZEA51ZR6JD,"L. Roy ""Malone Alum""",1,1,5,1206662400,easter basket,Very nice product<br />full of quality items - not the cheap candies like other baskets
1430,B00061NJ06,A6KUF4KCOS1K6,Sci-Fi Fan,0,0,5,1283472000,Great Taste!,Great tasting coffiee!! One of the best I've ever had! The problem here is the high shipping costs.
1479,B001IB69B4,A36IQK3GFWOGIA,Seyjan,0,0,5,1237766400,Lindt Pistachio Chocolate,"Excellent. Very nice, rich and creamy with the pistachio nut in the middle. mmmm.....  Delish!!!"
1543,B000E7WM0K,AV727S21MQ8IB,Kikitastrophe,0,0,5,1245542400,Delicious!,"This is quick, easy and portable, and I think it tastes great! It's my favorite flavor."
1549,B000E7WM0K,A160JZXED5K7P1,gf gal,0,0,4,1163030400,Gluten free goodness,Very tasty gluten-free option.  My kids loved it as it wasn't too spicy.
1551,B000E7WM0K,A2AJ5VNBX7RGPP,Lucy Ackland,0,0,5,1156118400,"Quick, Yummy, Unusual Soup",I liked this so much that I re-ordered and will keep<br /><br />re-ordering.
1554,B000E7WM0K,A2PNOU7NXB1JE4,"Peggy ""pab920""",0,1,3,1168300800,For $2.00 a box it's okay,"I don't plan on reordering it, but it was definitely edible and filling since I added chicken."
1558,B000E7WM0U,A1QEZ01P4PH82D,"Rufus the Dog ""Rufus""",3,3,5,1162512000,Hot Hot Hot,Much hotter than your normal green curry. One pack makes many servings.
1560,B000E7WM0U,AC82K46M2JV8Y,Janneman,0,0,5,1288310400,Curry Paste,"Second order.  Very good, hot which I like but best to sample as per your preferences."
1614,B001RVFDOO,A2Q92C2T5ODYM2,PowerGamer22,0,0,5,1326844800,Yum yum love me POP Chips,I like these chips a lot! Now i have a whole 24 pack ! this is how i get my chips on while i Fish!
1694,B001RVFDOO,A3N3HJ86TLPI59,Joanne Moore,0,0,4,1285200000,Delicious!,These are great little snack packs - flavorful chips and fairly low fat and low cal.
1716,B001RVFDOO,ASEVQDUOGXVFI,jbhill,0,0,5,1283126400,love this snack,Everyone should try these chips. They are healthier than regular chips. And they taste good.
1778,B001RVFDOO,A273UBXROV2U0O,"R. LEADBETTER ""mommabear""",0,0,5,1261094400,Taste great,These taste wonderful!  Guilt free if you can stop at one bag.  Will definitly buy again!
1780,B001RVFDOO,AXNF1NXMMGQNR,"Donna M. Skapik ""Sticks""",0,0,5,1258848000,Fantastic Product !!!!!,What's to say - Pop Chips are great!!!  Kudos to the PoP Chip makers.
1937,B000F4EU52,A1S4Y637N2ZY7Y,Devra A. Freedman,3,3,1,1279670400,Tastes like mushy pineapple,This product was a complete disappointment. Tastes like mushy pineapple. There was no papaya taste.
1942,B000F4EU52,A2UK61LFJ2MMHR,Dorothy Tellez,2,3,5,1233532800,Best canned fruit I have ever eatten,"My 1 yr old Granddaughter, and I cannot get enough.<br />and it is good for you!"
1949,B001HBTGI8,AJTIL0DUZXS3Z,P.M. Nugent,1,1,3,1268524800,White Flecks?,What are the white flecks floating in my recently ordered bottles of Dirty Martini Olive Juice?
2002,B001E5E29A,A81HMEGGVESJP,"Mrs. G ""B. Real""",3,3,4,1207440000,Great tasting pancake  mix,This is the best tasting pancake mix in the market and it is so easy to make.
2050,B001E5E29A,A195OAWQHITG0E,"38 TE Fountain Gal ""Striped Bass Lass""",0,0,5,1284681600,"Tasty, texture great",This is a great mix. I mixed it with milk instead of water.  Just follow the directions.
2060,B001E5E29A,A1VK4EB3V76826,M. LIOU,0,0,4,1271548800,We love it.,"No matter how you mess up the recipe, this Mix still makes my family happy in the Sunday morning :)"
2074,B001E5E29A,AHL8LBKQZ4NUB,Katydid,6,11,5,1184284800,our favorite pancake mix,"I'm not sure why, but this is our favorite pancake & waffle mix.  Just tastes the best to us."
2101,B000EPP56U,A1W9JPRW0GSOOP,Trace,4,4,5,1180656000,Best crackers ever!,These things are addicting and low in calories and fat too.  I love the Wasabi flavor.
2203,B000LRKO9E,A125VULXMCE3VY,A. N. Duquesnoy,2,3,5,1230336000,I would recommend this product.,I would recommend this product.  I received it in a timely manner and the price was good.
2239,B002C4HZ00,A31RMOM1WO36AC,"W. R. Carleton ""Ranny Carleton""",0,0,5,1286236800,Cento  Time,"This is a fine product.  Why? Sure, it's has a flavor that on other tomato has, an earthy taste."
2285,B0016D2MY2,A1FOETZVA33OE4,"R. Zdrojewski ""RZ""",0,0,5,1272153600,Just Mmmmmmmmmm,It's that good!  Heaven if you like cinnamon.  Tastes sweet with no sugar.
2347,B002SOR6VM,A3N7VP8ZKTZ8KC,"chazze ""charrme""",0,0,5,1287792000,quality comes at high price,quality food but the price is very high.  luv amazon's free ship over $25.
2416,B0089SPDUW,A2KZMB70YJARSD,VMCPREZ,0,0,5,1337126400,Great coffee,I really enjoy this coffee - I have used a variety of the K-cups and this is one of the best.
2490,B0027IQC5K,A123G253XL4O17,Flower w/ thorns,1,1,4,1277078400,Great product if you are willing to do the work,I think this is a great product but my picky dog gets tired of it after a week.
2510,B000EH2AMA,A1BL9MWYKTIHA3,guichen wang,0,0,5,1179878400,good snack for everyone,"it has good tast and crunchy. I bought black sesame before, it is good too. highly recommanded."
2559,B000ED9LDU,A17EBEEW9NZOOI,"Trish ""Jewelsonawhim""",1,1,5,1219104000,Very healthy!,Great for you! Grind them up and add a few tablespoons. Can't tell it's there in your cereal ect..
2582,B000EGX2EG,AVFDH06FF7CGM,Dani,1,1,5,1169424000,DELICIOUS!,"Delicious, healthy, plus Amazon is cheaper than if you buy them from Mrs. Mays actual website."
2589,B000EGX2EG,A2680Y1KEX9TAE,"Sunshine Styles ""SunshineStyles""",0,0,5,1174435200,"Delicious, addictive and healthy too!","My family and I love Almond Crunch, they're just sweet enough, very crunchy, and a perfect snack."
2617,B0016FY6H6,A1USEUYCTA5R4P,HAPPY RPH,4,4,5,1235520000,VERY CONVIENENT!,I KEEP THIS AT WORK AND I MIX IN MY SMOOTHIES AT HOME- LOVE IT!
2622,B0016FY6H6,A1U15WYNFC412O,Art Denning,2,2,5,1288051200,Good tea,This is good iced tea. It is hard to find locally in the Fall and Winter.
2623,B0016FY6H6,A1OTXOGDLHTYSR,M. Whitehead,2,2,5,1286841600,Stash Green Tea Powder,This is a quick and convenient way to drink green tea! I add lemon juice and stevia.
2638,B0016FY6H6,A1V01GIJQGJ9ID,Post,2,3,4,1261440000,Mom of 5,"Good flavor, but not real sweet.  I add a little stevia for my sweet tooth."
2657,B0016FY6H6,A1U15WYNFC412O,Art Denning,0,0,5,1288051200,Good stuff,This is good iced tea.  It is hard to find locally in the Fall and Winter.
2661,B0016FY6H6,A15D65M0NGF1T,Veebee,0,0,5,1275436800,Love it!,I drink this delicious tea almost every day.  I have yet to find anything like it on the market.
2698,B00015BQB6,A364G7X2C85G36,S. ANDERSON,0,0,5,1288569600,beans,Good stuff - like lentils you don't need to soak these.  They are small so feel good in the mouth.
2721,B003NDA970,A3K3088Y6J6JM9,N. Smith,2,2,5,1212019200,Enjoy,"The small, white popcorn is the best!  Very delicious - and I've tried lots."
2725,B003NDA970,A3ISO5VNV6B8QO,A. Coe,2,2,5,1168473600,Popcorn lovers love this popcorn!,Pops great in the microwave.  Much better than many store brands.  Good product.
2746,B003NDA970,A1W61SHZ2YZUJD,John,0,0,5,1284163200,Amish Country Baby White,I have made this my popcorn of choice.  I enjoy the flavor and kernal size.
2754,B003NDA970,A1UP81S8OCJASL,"A. Dominguez ""A.""",0,0,5,1254441600,Love it,"I love this brand,  all kernels pop and they are a nice size, texture and flavor."
2764,B003NDA970,A3VS5CL3F0Y4EE,V Cisar,1,2,1,1283212800,Wabash  Valley Farms Amish Country Baby White Popcorn,This popcorn has alot of hulls I order 4 bags and can't stand to eat it it's so hully - terrible
2767,B003NDA970,AES7A0KZU3K6T,J. Coughlin,1,2,3,1240272000,Small Kernals,"This is good popcorn, but it is very small so you need to make twice as much as you normally would."
2775,B00002NCJC,A13RRPGE79XFFH,reader48,0,0,5,1281052800,Flies Begone,We have used the Victor fly bait for 3 seasons.  Can't beat it.  Great product!
2916,B000F9Z1WI,A1A52WV9X2CGUW,"lizzie-j ""lizzie-j""",0,0,4,1231286400,Good snack,These are more like a cracker - good for a little fill in for between meals.
2918,B000F9Z1WI,A1LNMX0VCOU7XK,"Mom_of_4 ""Briana""",0,0,5,1221782400,Yummers!,Super yummy! Really hits the spot when I want a chocolatey snack that won't break the calorie bank.
2943,B0002TJAZK,A3U39114B8DDPR,"Patricia Malek ""Chicago fanatic""",1,2,5,1301356800,She Loves It,"This is the perfect food for my cat & in fact, the only one she will eat - wet or dry."
3089,B000GB7QXC,A2GIO8OKVCNKM,Kira Horton,0,1,5,1196380800,wonderful loose leaf tea,I love the chamomile tea. Its sweet and mild. Its excellent for a bed time tea.
3136,B000FDKQCY,A8VLQLQNSV3JW,The Wanderer &#34;Wendy&#34;,1,1,5,1239926400,How Good!,"This was great - so soft, so tasty.  Better than expected.  Perfect loaf every time."
3152,B000FDKQCY,A3L08CW5LX0K8B,"Leo G. McNeilly ""Leo G. McNeilly""",1,7,3,1254787200,Bread,I am a bit disappointed.  The flavor was not what I wanted or expected.
3433,B005K4Q1VI,A13L66J35SMYE5,Elizabeth Ramsoram,1,2,1,1330646400,Not good,This does not taste like cocoa it is very weak no matter what cup size you use.I is just not good.
3486,B005K4Q1VI,A15IX824PPP1JW,J. GOFF,1,1,5,1331596800,yummy hot choc--olate,I love the flavor and the speed of this cocoa I drink one at night and each is the same good stuff.
3615,B000HDMW9M,A3FQP27XNNUO98,H. Mandelbaum,1,1,5,1258070400,canned Mackeral,The product was exactly as I expected and the same as previously bought in retail stores.
3626,B0015D44KS,A135SZUUYGMDGQ,"Christine J. Hannigan ""Seraphiel""",1,1,5,1227830400,The best bean,The best way to get Jelly Belly... a good price.. and you only get the flavor you want.
3629,B0009P82YM,A15X2YUKEMCSXL,"Patricia A. Oliphant ""Pat Oliphant country CD""",0,0,4,1184198400,coconut bars,"Very nice product.  It is not a Mounds bar, but it helps satisfy the urge."
3660,B000YB7XQ4,A3FYF6G1XOIT4P,David A. Burrows,0,0,5,1264896000,Great Product,"Love PG Tips tea.  It's hard to find in the USA, but a standard in the UK."
3694,B000ER1DIM,A2Y1NAULT5YJUI,Lookingforabargain,0,0,5,1316390400,Great taste!,"15 month old loves to eat them on the go! They seem great for a healthy, quick, and easy snack!"
3785,B00016UX0K,AAJ1IYOUIHWF,D. Sun,1,11,3,1243036800,Too much,These are very large bottles. It is a good dipping sauce with a sweet/spicy flavor.
3796,B001L1DYAA,A19RA3RFF1B1ZO,Reno J. Cyr,2,3,5,1289347200,Coffee,Everything that is stated in the information is exactly what I had recieved.  thank you
3803,B001L1DYAA,A2I5OC3AQBTPC1,E. Irene Goulette,9,17,5,1234569600,Best Coffee OutThere,"Gevalia is the best coffee there is - always mellow, never bitter. I'd never drink any other brand."
3807,B000X2CWTM,A3PW3MJBQTWPYS,M. Lewis,8,8,5,1268179200,REAL licorice,"This is real licorice. It is soft, has great taste, and is very healthy! Love it."
3832,B000X2CWTM,AOR5N7XPWIIMG,M. F. Davis,1,1,5,1228089600,Great licorice flavor,I love these licorice.  Get licorice flavor--not just sugar with some flavor.  Very satisfying.
3834,B000X2CWTM,A3F8MYJJ0BZLFW,Jimmie D. Burnett,1,1,5,1213920000,Licorice,This licorice is great.  It taste like the old fashion rope licorice. I will continue to buy it.
3841,B000X2CWTM,A2MXGSXIGZJ5W,Peggy Ringelstetter,1,14,3,1209168000,"this is Ok.,but","I've found a new licorice,,this one is ok.,But I really don't need the extra sodium in my body...."
3858,B001M074MY,AQZVF3LZMC6SM,L. Francis,2,3,1,1262822400,Not Good,My husband didn't care for this coffee at all.  He complained it lacked flavor and aroma.
3860,B001M074MY,A1ZZZT0KJR46UV,Darla Mcgranaghan,2,3,5,1245110400,Good coffee,I love coffee and at night really miss out if I don't have the decaff.
3878,B009166ECC,A2A5SQE8EEDLLD,Kurt,1,1,1,1348012800,"Great drink, horrible price!","I can get it at Walmart for $1.78 each or the gas station for $3.50 for 2. Why, just why?"
3978,B003XW3YRS,A27DHWJ275D678,Rev. George T. Cox,0,0,5,1315526400,Great Tea to settle stomach,"This tea is what it is supposed to be, it is good, the packaging was good, and the tea is excellent"
3983,B001P1Y79S,A3UI0OMTJQSC4W,Miss Malibu,1,1,5,1264291200,Great!,These cashews are the best I've ever had and the containers they come in are the perfect size.
4027,B000UZVPKO,A5CFMLOALD1DY,Susan Bryan,0,0,5,1276992000,Good products for low-sodium diets available from Amazon,I have had to change my diet and now have better health. These are very tasty.
4100,B001EW5YQS,A27Q7HBEBV5Y22,Michael L. Jones,1,1,3,1264982400,Mic adaptor for computer,"The level from this unit was hard to adjust, and when all was said and done, it was very low."
4143,B001EW5YQS,A1B01XVMENVX22,Garth D. Braithwaite,0,0,5,1258329600,feels like a small lightsaber,"Works well.  It is slightly lighter than expected, but the quality of the sound is excellent."
4279,B004391DK0,AA5HS6LQ8XC6G,"Fantasticalice Alice ""Phat G-ma""",25,39,1,1287360000,"Sugar,sugar,sugar","Second ingredient is SUGAR! Need I say more? Make your own bisquit mix, it's super easy!"
4421,B000E5AO8O,A1JO9L5ES9H46P,Valerie J. Baker,1,1,5,1194652800,It's still the same.,I was glad I ordered this candy. It still taste like it did 20 years ago.
4591,B0013ENGXK,ASX0HBQ5OWAO4,"Donna ""DeeLee""",2,2,4,1274313600,Great Tea,I have been taking this tea twice per day and I am enjoying the way I feel
4627,B000FFRY3G,ANX42D33MNOVP,"A. treat ""dog fan""",3,3,4,1187395200,ener g english muffins,These are ok. I like the sweet potato ones better and both have good fiber content.
4652,B0006NEDWC,A201QIA747AULK,Erw,1,1,4,1323043200,Well received treat,My dog loved these and I think they probably helped with his gas and dare I say his breath too.
4657,B000FBM4FI,A3KIS7K5BFFZ4B,Barbara B. Glasgow,2,2,4,1209081600,crackers,"Great alternative for those who can't eat wheat. A little bland, but crunchy and crispy."
4673,B000FBM4FI,AXXY4O02CQMH2,"Kupcake ""Kupcake""",0,0,5,1243641600,Ultra thin wasa,Hard to find on the store shelves.  Doesn't over power the flavors you put on it.
4692,B002S1KPO0,A2W2DFUF457N1Z,Xavier,0,0,5,1270684800,Perfect for in-between water breaks,"really gets the mouth watering, a little over $3.00 at BIG5, the price listed here is insane!"
4743,B00139TT72,A31IA1XUON77SH,"Catherine J. Garbus ""ceejay""",0,0,5,1236470400,organic dog food,very high quality food that my dog will actually eat .. always ships promptly and well packaged
4753,B00139TT72,A3OP09SLKSB9XC,Goldenrod,0,1,5,1260403200,Newmans Own Organic Dog Food,Fast Delivery.  Product arrived exactly as described.  Would purchase again from this company.
4925,B0009JMW1C,A37B3KZO5P9V4F,Catherine Slowey,0,0,5,1237507200,sinus buster tea,We love sinus buster tea.  My husband thinks it's great and clears out his sinus' regularly.
5024,B000N5YM10,A3ESGWN65QIL17,Vick,1,1,4,1179187200,Seasonings,Good product! good price  fast shipping . needs an insert in lid to seal container better!
5068,B001872UAW,A1GPS82OWNQWPG,Kathleen M. Conlon,0,0,3,1303862400,Healthy Choice chicken Tortilla Style Soup,I enjoyed this soup.  It was flavorful with a nice blend of spices.  I will buy it again.
5101,B004157PZI,A23QF1J97QNOK3,James,1,1,5,1285632000,The Best Beef Jerky Ever!,"Well, after trying a lot of brands, this is probably the best beef jerky I ever tasted!"
5149,B0031YJ38W,AU6890Q08RKEG,V. T.,0,0,5,1269993600,Tastes surprisingly good.,"I was expecting hard tasteless healthy cookies.  It is soft, a little chewy and yummy.  Very tasty."
5228,B0009OMU00,A2749L3OB3ZVN8,Jaime L. Lagattuta,0,0,5,1222732800,Great Snack,This mix is great anytime.  I love it.  Would recommend it to anyone that likes Chex mix.
5229,B0009OMU00,A2RUK1EMOK6VG8,Russel Stieb,0,0,5,1219017600,Best Bar Mix Available,I absolutely love this mix.  We keep it on our home bar and everyone loves it.
5235,B0012YEKCW,A23PF0J8IKZHKI,"rustin g olson ""Rusty""",70,74,5,1229990400,Good Stuff,"This is good stuff.  However, I planted it, and no cats grew up.  Just grass."
5295,B0029JVSSS,A2T6BADTO112R5,Robert Washington,0,0,5,1272326400,Sweet Treets,All my horses love a sweet reward. Dots hold together nicely in the reward bag.
5323,B000BYLQW6,AWEFCIFFZ6OR1,"R. Farber ""Barn goddess""",2,2,5,1252368000,My dogs love them,My dogs (and some other dogs I like to spoil too) just love these.  They are their special treats.
5368,B000G671RI,A33SHM8MSR42TL,KO,0,0,4,1332806400,Very good,"Would've rated 5 stars if it had more of a vinegar taste.  Overall, not bad at all, good snack"
5370,B000G671RI,AZQO1L7SJL57P,Malissa K. Peterson,0,3,5,1173312000,Salt and Vinegar Pork Rinds,The customer service was beyond compare.  I would gladly do business with this company again.
5446,B00622CYVI,A1N8YWKJVXVXKY,buymorenow,3,3,5,1282780800,Great Deal!,My little guy ate this all up before I could even write a review!  :)
5611,B000G1X45G,A3375007IPIGW2,"B. Maguire ""emerald""",2,4,5,1191974400,wake up call,"Very good product, will purchase over and over again. A convenient way to purchase."
5662,B000EDMENE,A2DYW9Y2D8E43L,"Kris Cayocca ""Cayotejr""",2,4,5,1188086400,Really like,"Great snack and good on salads.  It's dried peas, what else can I say?"
5676,B000H23YC2,A37H9RV4TNKLAH,Bill,2,2,5,1205798400,Great Deal,"Very good taste and a good price, no sales tax, no shipping charges and delivered to my door"
5822,B002HFRYZ0,A2ZY23X9IKXMON,Entronaut,7,7,5,1179619200,A Terrific Find !,Unexcelled as to price and equal in quality to the best !
5857,B001EQ5EJQ,A2UH3XA21QMMLZ,shoukunfox,2,2,5,1333497600,Good choice!,The walnut oil is really good. I later will often come to buy it.I hope you will like it too.
5867,B001EQ5EJQ,A2A8KWCE8RKB9T,David Glazer,1,1,5,1256083200,Really Good,La Tourangelle makes some really good oils. I like this company alot...try the sesame oil too.
5967,B00063480E,A2B7IYLCNXIJXY,S. Tigner,0,1,3,1167782400,Real hard Bites,My dogs really did not care for these. were not real p-nutty.
5971,B001NVEJKC,A3AWWK5JX4VNUE,Raf,0,1,5,1326326400,love it,some of the best chocolates i ever tasted. If you are a chocolates lover then you have to try these
6072,B000H227BG,A2PREESNW88YEI,"D. Wood ""Teaching Mom""",0,2,5,1286323200,Delicious,"Best mix on the market for making cafe mocha lattes, and we've tried them all"
6077,B000H227BG,A36VJNFQHCVCH,J. E. Neukom,0,6,3,1284854400,dented containers but good contents.,"love the contents, but two of eight containers were badly dented.<br /><br />jan"
6121,B002HP2XCO,A2T45XJEM8CJXC,BWente,0,0,5,1282003200,Delicious!,I love this ricemilk.  It has the consistency of almond milk and no soy.
6123,B000WGFTSU,A1ZKUVRSCPL3L6,nlsyn,2,3,5,1279238400,Very good Vanilla,This is the second time that I ordered this product and I've been very happy with it.
6225,B001EO776Q,A2TMX8TT6W89S,Emily,0,0,3,1282262400,decent but not great,"I prefer rich, strong coffee and this product is a bit bland for my taste"
6242,B000E1HVW0,A2VTPSV2EO6NTG,william1,0,0,5,1331769600,available when hard to find,this item is so hard to find. i was so thrilled to find i could buy more than just one at a time.
6258,B000E65OF6,A2ZYL4MRA84HAS,C. Aborn,0,0,5,1250294400,great value,"when ordering in bulk with the repeat shipping option, this tasty tea is a great value"
6277,B000KOSDY6,A1WSOEKFFJ1TUU,"C. Wilson ""Sister51""",0,0,5,1258761600,I Love it Too!!!,I too am so glad Amazon sells this!!  I sometimes add a 1/4 cup of sugar when I want it sweeter:)
6282,B000KOSDY6,ARU0D5RK987RF,Rory C. Mccormack,0,2,2,1287705600,thought it would be better,so so.there was great reviews on product only made it once will try it again
6305,B000X905WQ,AKSJZFWPMJ363,"Patricia L. Anderson ""auntix""",1,1,5,1168128000,Dog Treats,All the dogs on my Christmas list loved this. They ate it right away
6331,B001AW9PTO,ASNI6ZCDQMV1W,Charles Ephraim,2,2,4,1277424000,jerky,"Just like old style jerky.  Whole strips of meat, not compressed chips. Yum Yum. Peppery."
6342,B001AW9PTO,A2RNYW2HIQBGSM,Carlos Alvarez,1,1,4,1229990400,Very good flavor and consistency,These are great tasting and have good consistency and meatiness.  Easy to eat on the run (no mess).
6382,B000084EKG,A1BU6BSOO8WE5T,Jennifer,1,1,5,1196035200,My cat's favorite!,My cat is so picky! I've tried every brand and flavor and this is my cat's favorite.
6487,B000FNEX50,A1UHFZ8ESPNQAA,"Challenged ""desert rose""",0,0,5,1243900800,delish!,very tasty and the perfect size snack.  Reliable in availability and  shipping time.
6488,B000FNEX50,APWCOAVILK94B,"Real Named Person ""wowzee""",0,0,4,1239840000,These were good but small,These were good for a snack but found it a little expensive for the size they come in.
6493,B000FNEX50,A4SOPOLKS78SJ,"Honor Braunschweig ""glutenfreemommy""",0,0,2,1216252800,cookies,THis product is definitely not as good as some other gluten free cookies!  Try Pamela's!
6500,B000FNEX50,A3LNCVKOGNUDB6,Jennifer Difiore,0,0,5,1178928000,love it,"they are fabulous and not bad for you, what else could you ask for!"
6501,B000FNEX50,A2158Y2U61AU9G,Lillian37,0,0,5,1172102400,My children love these!,They taste great and are healthy. We keep our home stocked with Nana's Cookie Bars.
6504,B000FNEX50,A2CF4ZYYQWQ7PB,jg,1,2,1,1255564800,not gluten free,be careful...even though this is listed under gluten free section it is NOT gluten free
6659,B001LG945O,A2ZY23X9IKXMON,Entronaut,0,0,1,1245801600,Small can,It is a good thing the can is so small. The product is several cuts below Sunny Delight. Terrible!
